title,question,answer
initiatives to promote inter-generational collaboration and actions in tackling issues facing singaporeans,"Ms Ng Ling Ling asked the Minister for Culture, Community and Youth what are the existing platforms or initiatives that the Ministry has created to promote inter-generational collaboration and actions in tackling the issues facing Singaporeans, including the ageing population and shift in workforce composition going forward.","Mr Edwin Tong Chun Fai: MCCY brings together Singaporeans from across generations to build consensus on issues that matter to them, and plan our future together. Some examples are as follows:(a) We engage Singaporeans to forge our shared identity, and to think about the values and legacy we want to leave behind for future generations. More than 80,000 people of all ages contributed their ideas and views to the Founders' Memorial to date.(b) This year, in spite of the on-going pandemic, 74 Singaporeans aged between 17 and 73 are working together to create content to update the Singapore Citizenship Journey for new citizens.(c) In June 2020, DPM Heng Swee Keat launched the Singapore Together Emerging Stronger Conversations, for Singaporeans young and old to come together, reflect on the COVID-19 crisis, and contribute their views on how Singapore can emerge from it stronger and more resilient. The conversations will lead to Singapore Together Action Networks – collaborations formed around the salient issues that emerge from the conversations – these too will reflect inter-generational involvement.There are other initiatives to encourage meaningful connections between the young and the old, and which recognise how our ageing population can still be a force for good when coupled with the strengths of our youth.(a) Seniors have stepped up to be part of the Mentoring Alliance to mentor youths; (b) Youth Corps Singapore's Eldercare Cluster has regular youth-led initiatives such as Cantonese classes taught by seniors to youths, as well as Senior Superheroes where seniors impart practical knowledge and skills including shopping at wet markets and cooking to youths;(c) NYC supports youth-led initiatives such as Interlogue aimed at strengthening relationships between grandparents and children through a museum programme involving conversation starter kits and activities.(d) Our Singapore Fund has also supported ground-up initiatives by groups such as the Cassia Resettlement Team, Empower Aging and ACE Seniors, which bring different generations of Singaporeans together to serve the community.It will be increasingly important for different generations of Singaporeans to work together to overcome our challenges – such as the ones brought to the fore by the pandemic – and to seize the opportunities ahead of us. This ability to work together, empathise with the experiences of different generations, and recognise each others’ strengths, will also make us a more competitive workforce as our workplaces will better harness the energies of a more diverse profile of employees.Therefore, MCCY will continue to work with other agencies to provide more platforms for Singaporeans of all ages to work together. However, fostering inter-generational collaboration is not something the Government can do alone. It ultimately requires all Singaporeans, young and old, to make the effort to listen and build relationships with one another. We encourage Singaporeans of all generations to step forward to be part of our democracy of deeds, and to work together to gift a stronger, better Singapore for future generations."
"efforts and upcoming plans to engage youths on views, concerns and aspirations for a post-covid-19 world","Miss Cheng Li Hui asked the Minister for Culture, Community and Youth what are the efforts and upcoming plans by the Government to engage youths during this pandemic so that their views, concerns and aspirations can be taken into account as Singapore plans for a post-COVID-19 world.","Mr Edwin Tong Chun Fai: MCCY and the National Youth Council (NYC) have been engaging our youths during the COVID-19 period, through our digital platforms, to better understand and respond to their sentiments and concerns. During this period, our youths have been concerned about job prospect, finances, and their mental well-being. In response, NYC partnered youth sector organisations to create digital content and resources to help youths cope with the COVID-19 situation. For example, videos, articles and infographics addressing these concerns were published on Youth.sg. NYC also partnered CR8 Studio SG, a digital video channel that hired creative freelancers affected by COVID-19, to develop content to engage youths during the Circuit Breaker.Our youths also care about how COVID-19 has impacted our wider society, such as vulnerable groups. They see an opportunity to restate what Singapore stands for, and re-shape our society to be more inclusive, and sustainable. Many have stepped forward to organise or participate in initiatives to help vulnerable groups, and re-create social connections during this time when it is difficult to gather as we would usually do pre-COVID.Government and the National Youth Council will continue to enable and partner our youth, to address their concerns and also their aspirations to contribute during this time. These platforms include:(i) Youth Action Challenge (YAC), where youths can come up with innovative solutions on issues they care about, supported with funding and mentorship. The first run of YAC, held in September 2019 involved about 250 youths forming teams and pitching 57 project ideas to a panel of judges. The second run of the YAC will start this October, with a focus on COVID-19;(ii) Young ChangeMakers, a platform for youths to pitch ideas that benefit the community and receive grants to implement their ideas. NYC has made it easier and faster for Covid-19 related projects to access grants; and(iii) Youth Corps Singapore, where youths can volunteer for community activities in areas such as mental health, vulnerable groups and environment. COVID-19 has certainly not limited our youths’ perspectives or ambitions for our country. We have heard their views as part of an ongoing journey that started with the Youth Conversations in 2018, followed by the SG Youth Action Plan, and we will further build on these through the ongoing SG Together Emerging Stronger Conversations. Our youths will have more opportunities to discuss national issues and policies, and be part of the implementation plans, so that Singapore society can emerge stronger from COVID-19."
number and trend of cases of thefts and vandalism of community gardens in last five years and measures and public education programmes in place,"Mr Gan Thiam Poh asked the Minister for National Development (a) how many cases of thefts and vandalism of community gardens have been reported in the last five years, (b) whether there has been a rising trend; (c) whether there are measures to make it easier for the gardeners to make reports; and (d) what measures and public education programmes are in place to deter and reduce these crimes.","Mr Desmond Lee: NParks has only received infrequent feedback on theft and vandalism in community gardens over the last five years. As community gardens are shared gardening spaces set up and managed by the community, gardeners have the option of reporting such incidents to their Residents’ Committee (for public estates) or Neighbourhood Committee (for private estates), or making a police report.To allow both gardeners and other residents to enjoy community gardens respectfully and amicably, some community gardens have signs to encourage residents to contact the gardeners should they wish to request for plants or their harvest. Some community gardeners also work with the People’s Association to install community refrigerators, to allow gardeners to freely share excess harvests with other residents.NParks also encourages community gardeners to hold regular outreach events to allow other residents to appreciate the efforts and hard work that goes into these spaces, and to build stronger relationships within the community. Such events include garden open houses, gatherings to share harvests, and gatherings to grow common edible plants for the community to freely harvest. By working together, community gardening groups can ensure that their gardens continue to serve as shared spaces that beautify and add vibrancy to our neighbourhoods."
local species of flora and fauna classified as extinct and endangered and efforts to raise students and young singaporeans' awareness of biodiversity conservation issues,Dr Tan Wu Meng asked the Minister for National Development (a) how many local species of flora and fauna have become extinct in the last five years; (b) how many local species are currently endangered; and (c) what efforts are being made to improve students and young Singaporeans' awareness of biodiversity and the risks and consequences of species extinction.,"Mr Desmond Lee: There are an estimated 35,000 to 45,000 species of flora and fauna native to Singapore. No species of flora or fauna native to Singapore has been classified as presumed nationally extinct in the last five years. 857 species of native flora and fauna are currently classified as critically endangered, while 352 species are classified as endangered.Youth engagement is a key component of NParks’ biodiversity conservation efforts. NParks conducts programmes for students and young Singaporeans to raise awareness of biodiversity conservation issues, and to encourage them to participate in nature conservation-related projects. This includes the Greening Schools for Biodiversity programme, which equips students with the necessary knowledge and skills to carry out habitat enhancement within their campus. There is also the Biodiversity Friends Forum programme, which nurtures young Singaporeans to become future leaders in biodiversity conservation. In addition, NParks involves young Singaporeans in its biodiversity surveys.NParks will continue to find new ways to improve awareness by involving students and young Singaporeans in biodiversity conservation efforts, as we transform into a City in Nature."
number of requests for assistance with rent payments under hdb public rental scheme and plans to consider temporary rent freeze,"Ms He Ting Ru asked the Minister for National Development (a) under the HDB Public Rental Scheme, how many requests for assistance with rent payments has been received so far for this year; and (b) whether HDB is considering a temporary rent freeze for tenants.","Mr Desmond Lee: HDB will help public rental households who need assistance with rent payments. From January to July 2020, HDB received an average of 370 requests per month for rent assistance. Over the same period, 325 households per month had their rents reduced. The reduced rent will apply for the rest of each household’s current tenancy term (up to three years). There were also 1,470 households per month emplaced on or renewed for ComCare rent assistance.Public rental rates are highly subsidised. Rents are never raised within a tenancy term, but can be lowered at any time if the household income falls. Rents are reviewed only at tenancy renewal, which happens every two to three years. Any tenants having difficulty affording their rent should approach their local HDB Branch for assistance. We will continue to monitor the situation, and ensure that public rental households in need will get the assistance that they require."
employment rate and redundancy rate of jobs support scheme recipient firms in march 2020 versus currently,"Assoc Prof Jamus Jerome Lim asked the Minister for Manpower (a) what is the employment rate for Jobs Support Scheme (JSS) recipient firms in March 2020 versus currently; (b) whether the redundancy rate of the JSS recipient firms has increased and, if so, by how much; and (c) what is the unemployment or redundancy rate among firms that are recipients of JSS versus those that have declined the JSS payouts.","Mrs Josephine Teo: Employment rate is measured at the population level, and not at the firm level.JSS support has been tiered by the estimated impact of COVID-19 on different sectors. To date, over 150,000 employers have received JSS payouts. Of these, nearly 600 employers have declined or returned their JSS payouts. It stands to reason that these 600 employers have been less severely impacted by the COVID-19 situation, with less need to trim their workforce. The data on their employment reflects this.Between March 2020 and June 2020, resident employment fell by an estimated 2.7% in firms that received Jobs Support Scheme (JSS) payouts, compared with 0.6% increase in firms that declined JSS payouts.Data on retrenchment is based on private sector establishments with at least 25 employees. In 2Q 2020, the retrenchment rate among resident employees in firms that received JSS payouts is estimated to be 3.1 per 1,000, compared to 1.8 per 1,000 in firms that declined JSS payouts."
number of adult singaporeans not having a bank account and reasons for not having one,Mr Chua Kheng Wee Louis asked the Prime Minister (a) how many adult Singaporeans currently do not have a bank account; (b) what are the primary reasons for individuals not having a bank account; and (c) whether special bank accounts for Government transactions can be created through POSB for such individuals.,"Mr Tharman Shanmugaratnam (for the Prime Minister): It is estimated that over 98% of adult Singapore residents have bank accounts. In the recent Solidarity Payment payout, 98.7% of Singaporeans who received the payments had the amounts credited into their bank accounts. As for the remaining recipients, surveys showed that many also had bank accounts but preferred to collect the payouts in cash.  Notwithstanding this high level of banking access, to ensure that Singaporeans have access to affordable and convenient basic banking services, the three local banks, Citibank, HSBC, Maybank and Standard Chartered Bank already offer Basic Banking Accounts (BBAs) since 2002. Typically, such accounts come with ATM/debit card, internet banking and electronic payment services, and can be maintained at very low or even no cost. For instance, DBS/POSB does not set any initial deposit or minimum account balance and waives the $2 maintenance fee if the individual chooses to receive eStatements. The local banks also waive fall-below fees for specific customer segments such as children, the elderly and recipients of public assistance.However, some Singaporeans remain unbanked. This may be due to low awareness of the availability of BBAs, or by choice. The Monetary Authority of Singapore (MAS) has made clear its expectation that banks should provide accounts to individuals who want them. In some cases, where specific safeguards may be required to mitigate money laundering or terrorism financing risks, banks may offer accounts with more limited functionalities. There is a small number of individuals who have committed serious crimes related to sanctions imposed by the United Nations1 who may not be able to open bank accounts. Banks have significant concerns in such cases, due to the difficulty of confirming the source of the customers’ funds or the legitimacy of transactions. MAS has been working with the banks to allow accounts to be opened for such individuals with enhanced due diligence and account restrictions. MAS is working with banks on further ways to enhance financial inclusion, while ensuring that risks are adequately managed. It is collaborating with the Ministry of Education, to ensure that all Singaporean children have bank accounts."
develop responsible financing policies to address climate risks posed by high climate-risk sectors,Mr Louis Ng Kok Kwang asked the Prime Minister (a) what policies is MAS studying to address climate risks posed by the high climate-risk sectors that have been identified in the Guidelines to Responsible Financing Practices published by the Association of Banks in Singapore in 2018; and (b) whether the Ministry can share how the MAS will be working with banks to develop their responsible financing policies in relation to these high climate-risk sectors.,"Mr Tharman Shanmugaratnam (for the Prime Minister): The Monetary Authority of Singapore's (MAS) objective is to ensure that financial institutions manage their climate-related risks well, and support our economy's transition to a sustainable and low carbon future. To do so, MAS is issuing new supervisory guidance that incorporates best practices on environmental risk management developed by global regulators, including at the Network for Greening the Financial System. MAS' proposed Guidelines on Environmental Risk Management1, which has undergone public consultation, will be finalised in Q4 2020. It will set out clear expectations for banks to implement environmentally responsible financing policies and practices, and includes:(a) Boards and senior management should maintain effective oversight of banks' management of environmental risk and address material environmental risk in their risk appetite framework;(b) For sectors that pose higher environmental risk, develop sector-specific policies, setting out banks' expectations on customers, taking into account relevant sustainability standards and certification schemes. Banks should also engage these customers to support their transition towards sustainable business practices over time; and(c) Disclose their approaches to managing environmental risk, and the impact of environmental risk on their financial performance, including quantitative metrics such as exposures to sectors with higher environmental risk. This will enable investors to better assess the banks' environmental risk exposures.Our approach is therefore not to outrightly disallow financial institutions from serving industries that are subject to climate-related risks at this stage. Instead, MAS expects financial institutions to assess their exposures to these industries, mitigate risks, work with each higher-risk customer to improve its environmental risk profile, and ensure there is senior level oversight on these issues. This approach strikes a better balance between supporting sustainable development, and recognising that many of these industries still play a role in the broader economic and social development needs of the region.MAS is engaging the banks on how they intend to implement the Guidelines. We are collaborating with fellow regulators to develop climate risk measurement methodologies and metrics. We will also continue to promote the best practices among banks on environmental risk analysis and management."
data on retiree landlords dependent on rental incomes of their commercial units and further grants to cover them beyond rental relief framework,Ms Ng Ling Ling asked the Deputy Prime Minister and Minister for Finance (a) whether the Ministry has data on retiree landlords who are dependent on rental incomes of their small commercial units for their monthly living expenses; and (b) whether there are further grants that can cover them under the Rental Relief Framework for SMEs beyond the one-month waiver on grounds of financial hardship.,"Mr Heng Swee Keat: The Rental Relief Framework provides for the Government, landlords and SME tenants to share in the rental obligations of SME businesses during this difficult period. This framework recognises that landlords, in partnership with the Government, have a shared interest in helping their SME tenants survive and succeed.In designing the Framework, the Ministry of Law had carefully considered and consulted a range of stakeholders on the potential impact on landlords. Landlords who meet the criteria for financial hardship may apply to halve their rental waiver obligations under the Additional Rental Relief component. Based on our records, about 3,000 landlords may qualify for a reduction in obligations under the financial hardship criteria1. Of these, more than 65% are aged 62 and above. As at 30 August 2020, the Registry of Rental Relief Assessors has received about 455 applications, and we expect more in the coming months.Individual and SME landlords facing cash flow difficulties can also apply to banks and finance companies to defer principal payments on their mortgages up to 31 December 2020 and to extend the loan tenure by up to the corresponding deferment period. Individual landlords who are required to provide relief to their tenants can also apply to defer interest payments, in addition to principal payments, on their mortgages up to 31 December 2020, and to extend the loan tenure by up to the corresponding deferment period.The provisions to help landlords in financial hardship strike a balance between the needs of landlords and tenants. The Government will continue to monitor the situation closely and make adjustments as necessary."
"breakdown of number of applications received to extend social visit pass, long term visit pass or long term pass plus of foreign spouses of singaporean","Mr Gerald Giam Yean Song asked the Minister for Home Affairs (a) how many applications has ICA received to extend the social visit pass, Long Term Visit Pass (LTVP) or Long Term Visit Pass Plus (LTVP+) of foreign spouses of Singaporeans (i) between February and July 2019 and (ii) between February and July 2020, with a breakdown by social visit pass, LTVP and LTVP+; (b) what are the success rates for each category; and (c) what are the most frequent reasons for rejection.","Mr K Shanmugam: From February to July in 2019 and 2020, the Immigration and Checkpoints Authority (ICA) received 6,419 and 8,395 applications respectively for extension of Short-Term Visit Pass (STVP) from foreign spouses of Singaporeans. 2.6% and 2.8% respectively were rejected. From February to July in 2019 and 2020, ICA received 4,503 and 4,243 applications respectively for renewal of Long-Term Visit Pass (LTVP) from foreign spouses of Singaporeans. In both years, about 0.4% of applications were rejected. Over the same period, ICA received 987 and 1,554 applications respectively for renewal of Long-Term Visit Pass Plus (LTVP+) from foreign spouses of Singaporeans. 0.9% and 0.5% respectively were rejected. Applications for STVP, LTVP and LTVP+ are considered holistically and there may be a number of reasons why a pass is not extended or renewed. STVP extension applications are rejected mostly because the sponsor or applicant was found to have adverse records, or the applicant was unable to substantiate the need for further extensions. For LTVP or LTVP+ renewal applications, reasons for rejection were mostly because the sponsor or the applicant was found to have adverse records, or was not able to demonstrate the ability to support the family financially.To assist those with genuine difficulties during the current COVID-19 situation, ICA considers additional factors, such as the prevailing travel restrictions and flight connectivity, when assessing the extension or renewal of passes."
