title,question,answer
criteria for setting up hawker centres and wet markets,"Mr Don Wee asked the Minister for Sustainability and the Environment what are the criteria, such as the number of dwelling units, to set up a hawker centre and wet market within a constituency.","Ms Grace Fu Hai Yien: In 2011, the Government announced its intention to restart building hawker centres after a 26-year hiatus, focusing on new estates or existing ones that are relatively under-served in terms of a diversity of affordable dining options. This ensures Singaporeans will continue to have access to affordable food across Singapore. We announced in 2011 and 2015 that we would build twenty new hawker centres in total. Seven are already in operation while another ten are currently in the design development or construction stages and are expected to be completed by 2027. For the remaining three hawker centres, one has earlier been announced to be in Choa Chu Kang Town Centre while the locations of the remaining two will be announced in due course. As we plan for the long term, the National Environment Agency (NEA) assesses the need for new hawker centres to serve towns with larger geographical areas and populations instead of individual constituencies. NEA works closely with planning agencies such as URA and HDB to identify appropriate locations for new hawker centres based on criteria such as residential catchment and availability of affordable and comparable F&B options in the vicinity. For residents’ convenience and to ensure a viable level of business for hawkers, sites with good accessibility and connectivity are also preferred, such as those co-located with other amenities or transport nodes. New hawker centres will generally not come with a market section selling fresh produce given the availability of alternative options such as HDB market produce shops and supermarkets. From our experience, market sections in hawker centres require sufficient scale to succeed, and must attract customers from a broader regional level. Those which are unable to get this catchment generally do not fare well."
reasons for recent surge in dengue cases,Mr Liang Eng Hwa asked the Minister for Sustainability and the Environment (a) what are the reasons for the recent surge in dengue cases; and (b) what are the short- and medium- term measures to reduce overall dengue cases.,"21 Mr Yip Hon Weng asked the Minister for Sustainability and the Environment whether the reduction in grass-cutting and tree-pruning activities due to the COVID-19 pandemic has caused the rise in dengue cases in housing estates. 22 Mr Leon Perera asked the Minister for Sustainability and the Environment (a) what is the number of dengue cases in the past six months; (b) what has been the progress of anti-dengue efforts; and (c) what has been the progress of Project Wolbachia. Ms Grace Fu Hai Yien:  As of 29 August 2020, there were 27,281 dengue cases reported this year. Of these, about 24,000 cases were reported in the past six months, from March to August 2020.A confluence of factors contributed to the surge in dengue cases. First, the less common DENV-3 was dominant in the first four months of this year and remains high. As this serotype had not been prevalent in the last three decades, our population has low herd immunity and this facilitates rapid disease transmission.Second, NEA’s Gravitrap surveillance system detected a 30 per cent increase in the Aedes aegypti mosquito population from May to June 2020, compared to the period February to March 2020. Coupled with the warmer and wetter weather as we entered the traditional peak dengue season from May onwards, the momentum of the high dengue case load sustained the high number of cases seen in June and till today.Third, the spike in dengue cases coincided with the two-month Circuit Breaker (CB) period. The weekly number of dengue cases started to rise sharply from May 2020. With more people staying at home, there were more human targets for the female Aedes aegypti mosquitoes.Finally, the scaling back of services for cleaning and facilities maintenance during the CB period, including stoppage of work at construction sites, could have also compounded the dengue situation. In some cases, overgrown grass may have concealed discarded receptables which could become potential breeding sites. However, this issue is being addressed as cleaning and associated services have resumed.NEA has scaled up efforts on all fronts since the end of the CB, working with stakeholders. First, NEA has an intensive inspection regime. Majority of breeding was found in homes. In May and June alone, it carried out 107,000 inspections of homes, and detected and destroyed about 2,600 mosquito breeding habitats. Another 2,700 mosquito breeding habitats were destroyed during inspections of condominium grounds, construction sites, common areas and other premises.Second, to deter mosquito breeding, NEA has tightened the enforcement regime for Town Council managed areas, construction sites, and residential premises since 15 July 2020. For example, NEA has increased composition fine amounts in instances of repeated breeding offences, or multiple breeding habitats detected during a single inspection.Third, on 24 July, NEA launched an intensive vector control exercise with Town Councils, Grassroots Advisers and leaders, and community volunteers. Town councils were called upon to step up housekeeping efforts to keep common areas litter-free, remove stagnant water, maintain drains, as well as work with NEA to conduct coordinated chemical treatment such as fogging, misting and applying larvicide in common areas. Most Town Councils have completed desilting and flushing of drains in the larger dengue clusters, and have moved on to also tackle other areas with high mosquito population. NEA has been auditing Town Councils to ensure that housekeeping efforts are satisfactory. Fourth, NEA has stepped up collaboration with stakeholders on dengue prevention. For example, NEA is working with community partners, such as Grassroots Advisers and Leaders, as well as community volunteers, to reach out to residents with messages on how to prevent mosquito breeding and protect themselves against mosquito bites. Together with the People’s Association and Ministry of Health, 700,000 bottles of repellent were distributed to residents in active dengue clusters and another 300,000 bottles were distributed by Polyclinics and General Practitioners to suspected dengue patients. Recently, NEA partnered the Ministry of Education to provide 46,000 bottles of repellent to students in 37 schools located in large dengue clusters, to protect the students and educate them and their families on how to protect themselves against dengue. Fifth, NEA has launched successive public communications campaigns on both mainstream and online media. NEA has expanded the number of dengue alert banners displayed at neighbourhood precincts of dengue cluster areas, and brought the message closer to residents with dengue alert posters at the individual HDB blocks. Residents living in cluster areas are also receiving SMS reminders to check their homes for stagnant water and do the Mozzie Wipeout.These efforts have borne some initial results. We have seen about a 20% decline in dengue cases in recent weeks. About 84 per cent of the 2,253 clusters reported in 2020 have closed as of 31 August 2020. This includes the large dengue clusters at Bartley Road, Tampines Avenue 7, Cassia Crescent, Dakota Crescent, Leicester Road, Potong Pasir Avenue 1 and Braddell Road. However, the overall number still remains high and we cannot let our guard down.While NEA puts in concerted efforts on dengue control, we are continuing with the Project Wolbachia trials and expanding to new areas. The phased field studies at Yishun and Tampines have been promising, with the Aedes aegypti population being suppressed by 90 per cent. Preliminary analysis has shown that 65 to 80 per cent fewer dengue cases are observed at the study sites, compared to areas without releases. NEA has progressed to Phase 5 of Project Wolbachia in July 2020, which will involve releases for the whole towns of Tampines and Yishun, covering 1,455 blocks or about 15 per cent of all HDB blocks in Singapore. In addition, since May 2020, NEA has been testing a more targeted release strategy in areas with higher risk of dengue in Choa Chu Kang and Bukit Batok towns, to pre-emptively suppress the high Aedes aegypti population in these areas. These releases cover an additional 207 blocks.Despite the success of the trials, Wolbachia is not a silver bullet; nor is it ready for immediate deployment. Constant efforts are still required to find innovations and engineering solutions to automate and sustain the mosquito production and release processes, before Wolbachia can be implemented on a larger scale. More importantly, Wolbachia technology cannot replace the community’s efforts to ensure good housekeeping, which will always be needed to keep our homes and estates free from mosquitoes and dengue.The current conditions are challenging. We are still in the peak dengue season and an all-out national effort is necessary to win the battle against dengue. NEA and partner agencies are committed to do our best to sustain the efforts. I urge all residents, especially those residing in dengue cluster areas, to do their part and take the three protective actions against dengue – spray insecticide in dark corners around the house, apply insect repellent regularly, and wear long sleeves and long pants. Residents should also continue to do the Mozzie Wipeout and ensure that their homes and surroundings are free of stagnant water. "
statistics for covid-19 community testing,Mr Gerald Giam Yean Song asked the Minister for Health since 1 May 2020 (a) what percentage of patients have been tested for COVID-19 after presenting symptoms of acute respiratory infection at GP clinics or polyclinics; and (b) what percentage of contacts with prolonged exposure to patients diagnosed with COVID-19 have been tested for the disease.,"15 Mr Gerald Giam Yean Song asked the Minister for Health (a) since 1 June 2020, how many people have been (i) randomly tested for COVID-19 (ii) diagnosed with COVID-19 as a result of random testing; and (b) what are the plans to step up random testing for COVID-19 in the community. 16 Mr Leon Perera asked the Minister for Health what is the current mean and median lead time between when COVID-19 swab testing is conducted and when the results of the test are made available to relevant parties.Mr Gan Kim Yong: COVID-19 testing is a key enabler in our efforts to fight COVID-19. Our testing strategy is focused on active case finding, as well as targeted surveillance on identified groups. Such testing is based on a holistic and concerted strategy to detect and ring-fence active infections as early as possible to prevent further transmission.The majority of linked cases are detected through active case finding around confirmed cases. Once a case is detected, the Ministry of Health (MOH) will quickly contact-trace all potential close contacts and place them under quarantine. As part of the quarantine process, all persons-under-quarantine (PUQs) will be subjected to a swab polymerase chain reaction (PCR) test for COVID-19 at the start and end of the quarantine period. The swab test at the start allows us to quickly identify infected persons under quarantine, provide the appropriate medical support and expand the ring-fence of close contacts if necessary. The swab PCR test at the end will pick up any remaining cases who could have been incubating the virus at the start of his quarantine, and gives us additional assurance that the PUQ is not infectious before releasing him from quarantine. If the PUQ presents with symptoms during his quarantine, he will be tested for COVID-19 immediately.MOH has also conducted special operations to test selected groups of individuals where there is a higher risk of transmission of COVID-19. Examples include the testing of identified households and their visitors at Block 111 Tampines Street 11, and the testing of bus drivers and staff working in public bus depots and interchanges. While the individuals tested were not close contacts of the confirmed cases, targeted deployment of such special testing operations allows earlier detection of any underlying cases among the group even if they are asymptomatic.Beyond active case finding, MOH has put in place targeted surveillance testing in the community. First, PCR testing is provided for all individuals aged 13 and above diagnosed with acute respiratory infection (ARI) at first presentation to a doctor. As clinical and scientific evidence shows that an infected person is most infectious right before and immediately after the start of symptoms, testing all individuals diagnosed with ARI early allows MOH to detect infected individuals quickly to contain further spread. From 1 July 2020 to 16 August 2020, 76% of the patients aged 13 and older diagnosed with ARI at the Polyclinics and Public Health Preparedness Clinics (PHPCs) were PCR tested for COVID-19. Of these, a small percentage – 0.03% - tested positive, indicating that the community prevalence of COVID-19 is low. We continue to encourage all individuals who are unwell to seek medical attention immediately and adhere to the medical advice received.As we re-open our borders and facilitate travel, we are also testing incoming travellers either on-arrival or during their Stay-Home Notice period, to detect cases and reduce onward community transmission.Second, surveillance testing is also done for identified groups who are more vulnerable or have higher risk of exposure to COVID-19. For example, we have been conducting rostered routine testing (RRT) on targeted groups such as workers living in the migrant worker dormitories; workers who returned to work in the construction, marine and process sectors; and workers supporting our frontline COVID-19 operations. Currently, over 200,000 such individuals are tested every two weeks. In the last two-week cycle, about 200 of such individuals tested positive for COVID-19. Majority of these cases are likely to be past infections.Third, as we reopen our economy and resume social activities, MOH will be expanding testing to more community groups. For a start, we have identified community groups such as taxi and Private Hire Car drivers, food delivery personnel, key vendors servicing foreign worker dormitories, as well as stallholders at selected hawker centres, markets and F&B establishments such as coffeeshops. While there has been no local evidence that these community groups are of higher risks of getting infected, MOH will be offering tests to them as part of our expanded testing and surveillance efforts given the nature of their working environment, such as the high frequency of interactions with members of public. These one-time testing operations will help to provide a better picture of population prevalence.Agencies and private providers supporting the testing operations endeavour to turn-around the test results as soon as possible. The current mean and median lead time between the conduct of the swab test and when the test results are made available from the laboratories are 30 hours and 22 hours respectively. Confirmed cases will be notified by the relevant parties expeditiously for the necessary public health actions to be taken."
measures at autonomous universities to reduce risk of assaults on students,Ms Tin Pei Ling asked the Minister for Education in light of the recent assault case involving an NUS student (a) what are the values and behavioural standards that students are expected to uphold; and (b) what measures are in place to ensure the safety of all students.,"24 Dr Tan Wu Meng asked the Minister for Education what measures are in place at the autonomous universities to assess the risk of assaults to their students and ensure the safety of other students, including women, in the event a student is accused or convicted of a crime involving violence. 25 Dr Tan Wu Meng asked the Minister for Education to what extent our medical and dental schools draw reference from the respective professional bodies' ethical code and guidelines for practitioners and past grounds of decisions or jurisprudence arising from the professional bodies' disciplinary tribunals, when assessing fitness to continue in the course for students who have been convicted of crimes involving violence. Mr Lawrence Wong: Several members have asked about the Autonomous Universities’ (AUs) efforts to safeguard campus safety in cases where their students have been accused or convicted of offences involving violence. Members are likely referring to the recent conviction of a student at the National University of Singapore (NUS), who assaulted his ex-girlfriend in an off-campus incident in 2019. First, all the AUs have a Code of Conduct or equivalent, which students are expected to uphold at all times. These Codes stipulate the fundamental principles and ethos expected of students as members of the University community. They span a wide range of expected behaviours, including personal, professional and academic integrity, respect for others, respect for the rule of law and campus policies, to name a few. Students are educated on these, including the need to respect others, manage boundaries and engage in appropriate behaviours. They are each responsible for contributing to a safe and secure campus environment. Second, when students commit a breach of their AUs’ Code of Conduct, they are subject to disciplinary sanctions. Such breaches include offences such as assault. AUs may impose a range of disciplinary sanctions, such as suspensions or expulsions, supervised community work and mandatory counselling. If the case involves a victim who is a student in the same university, a No-Contact Order can be put in place, where the student offender is prohibited from contacting or being in the vicinity of the victim throughout the remaining period of their studies in the university. Any student under police investigation and who is assessed to pose a danger to any member of their campus community may also be required to stay away from campus temporarily. Such a sanction can be lifted when an assessment is made that this is no longer necessary, for instance when no charges are pressed against the student.The universities also take action for student misconduct that takes place off-campus that they are made aware of, such as in this recent case of the NUS student. In such instances, they may rely on Police investigations as additional sources of information and subject the student to the disciplinary process and sanctions once sufficient details become available to them. Third, campus security measures in place include round-the-clock security personnel who carry out regular campus-wide patrols, and increased CCTV surveillance. Students are able to call campus security should they feel at risk, at any time. Finally, in response to the question from Dr Tan Wu Meng, the AUs do take reference from the professional bodies’ ethical codes and guidelines for practitioners in deciding on the disciplinary sanctions or assessing the fitness of the student to continue with his studies. The approach taken is guided by the AU’s Code of Conduct, statutes and regulations, and Board of Discipline processes. The students’ disciplinary records may also be taken into consideration when they apply to be registered practitioners."
strategy for attracting foreign direct investments in post covid-19 era,"Mr Patrick Tay Teck Guan asked the Minister for Trade and Industry how will the Government continue to attract foreign direct investments during these challenging times and moving ahead given that Singapore is one of the most expensive cities and companies are reviewing their investment plans, restructuring, and offshoring their businesses after experiencing the viability of remote work/ or work-from-home arrangements.","Mr Chan Chun Sing: Attracting foreign investments will be much more difficult in this environment where supply chains will be reshuffled. Various countries are rolling out generous incentives to compete for investments, and businesses are considering relocating their supply chains closer to final demand markets. Despite these challenges, there are opportunities to be captured. In the Asia-Pacific region, the Regional Comprehensive Economic Partnership (RCEP) is likely to accelerate regionalisation. Southeast Asia may also grow as a production base as countries and companies seek to diversify their footprint. To seize these new opportunities, we, i.e. the Government, our businesses and our people, must work together to adapt quickly and chart a new path. First, we seek to be a critical node in the global system, by strengthening all dimensions of connectivity with the world – physical, financial, and digital. Singapore may be an island nation, but we cannot be cast away in a globally connected world. We must continue to keep our physical links open, so that companies can trade with the rest of the world. We must strengthen our financial hub, for capital is the lifeblood of the global economy. COVID-19 has also emphasised the importance of the digital economy and we must leverage this by establishing greater digital connectivity with like-minded partners to facilitate the exchange of data. Second, we must be in a position to value-add to businesses who choose to work with us. Investors choose Singapore not because we have a large domestic market, abundant resources or that we are cheaper, but because we have an integrated eco-system of strengths that is hard to replicate elsewhere and add value to their businesses. These strengths include being trusted, open and consistent. We have also been restructuring our economy – focusing on productivity, innovation and skills upgrading – to build capabilities that are hard to replace.Third, we must remain open to ideas, technology and talent. We seek to be the place where new business ideas, new technologies can find its roots to grow. At the same time, we must remain open to talent, especially in emerging industries and to supplement our labour force. The availability of foreign talent is a major consideration for multinational companies on whether to invest in Singapore. Many are concerned about the ongoing public debate on foreign talent in Singapore, and are asking us whether we are no longer as welcoming as before. As Prime Minister shared in Parliament on Wednesday, we must strike this new balance carefully – continue to stay open, but making sure that our own workers can compete fairly with the world’s best.During this challenging time, we need to continue to be intentional and exceptional in our capabilities, connectivity and other eco-system value propositions, and remain open to compete for these investments so that we can build a future Singapore with opportunities for all. "
covid-19 vaccine plans,Mr Ang Wei Neng asked the Minister for Health what are the COVID-19 vaccine plans for Singapore.,"18 Mr Murali Pillai asked the Minister for Health what is the Government's strategy for vaccinating Singaporeans and Singapore residents against COVID-19 once such vaccinations are available here. Mr Gan Kim Yong: The Government is closely monitoring the global progress in the development of COVID-19 vaccines, and taking active steps to ensure that Singapore has timely access to an effective and safe vaccine when this becomes available. Besides ongoing discussions with multiple pharmaceutical companies developing COVID-19 vaccines, Singapore is also actively engaged in international discussions to accelerate development and promote fair and equitable access to COVID-19 vaccines. In particular, Singapore has been working closely with the World Health Organisation, Global Alliance for Vaccines and Immunization (Gavi), the Coalition for Epidemic Preparedness Innovations (CEPI), and like-minded countries to establish a multilateral collaboration called the COVID-19 Vaccine Global Access (COVAX) Facility that will enable countries to pool risk and resources to gain access to a portfolio of vaccines from different vaccine developers. Ensuring equitable access to vaccines will help to better contain and eradicate the COVID-19 pandemic, not just in Singapore but also globally. At the same time, we are supporting local efforts to develop a COVID-19 vaccine. Duke-NUS Medical School is collaborating with a United States biotechnology company, Arcturus Therapeutics, to develop an mRNA vaccine. Phase 1 human clinical trials for this vaccine candidate started in early August at the SingHealth Investigational Medicine Unit (IMU). Singapore is also building up vaccine manufacturing capacity, which can provide fill-and-finish contract manufacturing services to vaccine developers and ramp up production of vaccines when they are available.Our vaccination approach aims to protect individuals who are more vulnerable or at higher risk from the disease, as well as those who may be more likely exposed to infection, while progressively expanding the coverage of vaccination to our population. The vaccination strategy and schedule would depend on several factors including the suitability of different vaccines for different population subgroups and the quantity of vaccines available at any point in time. We will continue to adapt our vaccination strategy as more information from the various vaccine candidates becomes available."
addressing mental health challenges faced by foreign workers affected by isolation at dormitories,Mr Leon Perera asked the Minister for Manpower (a) what measures have been put in place to address mental health challenges faced by migrant workers during this period including those who are barred from leaving their living and work spaces; (b) when have these measures been put in place; (c) what is being done to help workers who develop mental health conditions when under confinement; and (d) what steps are taken to ascertain the effectiveness of such measures and to improve on them.,"Mrs Josephine Teo: Since the dormitories were isolated in early April, the Inter-Agency Task Force has recognised that both the physical and mental health of the residents need to be well looked after. These efforts continue even after the dormitories were cleared under the new Assurance, Care & Engagement Group (ACE).There are a few channels for workers to seek and get help if they are facing mental distress. The Migrant Workers’ Centre (MWC) runs a 24 hour Helpline with staff experienced in supporting migrant workers. When necessary, they will escalate cases to professional counsellors. For serious cases, workers could be referred to mental health specialists in the hospitals for in-person consultations. During circuit breaker, the MWC Helpline received about 700 calls per week.In April, HealthServe also launched a dedicated hotline for migrant workers to access medical information and submit requests for tele-counselling sessions. Since then, the service has received more than 15,000 enquiries. Their volunteer counsellors and psychiatrists have helped more than 1,100 workers.To help prevent isolation-induced stress in the first place, being able to return to work is important. It will also address anxiety over job stability. On this, we have systematically tested every worker in the dormitories and segregated them so that those who are infected can be treated promptly, while those who are not infected or have recovered can be moved into COVID-cleared rooms or blocks. This is necessary to stop further transmission and to help workers return to their work faster. This process started in June and was completed in mid-August. As of 31 Aug, close to 90% of workers in the dormitories are able to resume work.We have started trials to allow residents of selected cleared dorms to go to Recreation Centres on their rest days at staggered timings. We have also worked with NGOs to conduct activities that help improve the mental well-being of our migrant workers. For instance, the Alliance of Guest Workers’ Outreach (AGWO) recently piloted an organised activity to the parks; and the COVID-19 Migrant Support Coalition (CMSC) has been providing free hair cuts and mental wellness engagement activities at temporary Government-provided accommodation.Supporting these measures are the Forward Assurance & Support Teams (FAST). We have started to train and equip our FAST teams to identify and manage mental health issues. MWC’s network of 5,000 Foreign Worker Ambassadors will also proactively look out for distressed migrant workers and try to understand their key concerns so that the right help can be given quickly.To address residents’ common concerns, we have assured the workers through our daily bulletins sent through the dormitory operators, MWC Ambassadors and the foreign worker mobile applications. As one prevalent worry is becoming infected, we have circulated videos of doctors advising workers on how to protect themselves, and of recovered workers sharing their experience, to ease the workers’ anxiety. We also facilitated the departure of workers who wanted to return home.There are signs that these measures have helped. After calls to the MWC Helpline spiked to 700 calls per week during circuit breaker, call volume has reduced to around 500 a week now. This is not too far from the pre-Covid call volume of around 400 a week. We will continue to monitor and support the workers closely."
reports of mental health cases arising from work-from-home arrangements during covid-19 pandemic,Miss Cheng Li Hui asked the Minister for Health in light of reports that Singaporeans are more stressed working from home during the COVID-19 pandemic (a) whether there is an increase in mental health cases over the last few months; (b) what current measures are in place to help affected Singaporeans; and (c) whether further measures are needed as work-from-home arrangements continue amidst the pandemic.,"Mr Gan Kim Yong: The COVID-19 pandemic has brought about shifts in the way we work and interact with others, with more Singaporeans working from home during the pandemic. In the period of April to July 2020, there was a decrease of 36 percent in the number of attendances at the Specialist Outpatient Clinic and a decrease of eight percent in Emergency Department visits at the Institute of Mental Health, as compared to the same period last year, in part due to the Circuit Breaker (CB) measures. However, for the same period, there was an increase of 60 percent in the number of calls to the IMH Mental Health Helpline as compared to last year. Similarly, the number of community referrals for mental health issues to the Agency for Integrated Care’s (AIC) Care-in-Mind online platform more than doubled during this period with demand returning to normal levels in July 2020 post CB. In summary, with the exception of IMH Mental Health Helpline, the utilization of mental healthcare services has returned to the level seen prior to the start of the COVID-19 pandemic. To further support the mental health needs of Singaporeans during the pandemic, the National CARE Hotline was launched in April 2020 to provide support to those facing mental health concerns such as anxiety and adjustment issues related to COVID-19. As of 20 August 2020, the hotline has handled approximately 27,900 calls. About 11,800 of these calls were directed to trained volunteers to provide psychological first aid, while the remaining calls which are specific to other needs such as finance and employment issues were directed to the appropriate hotlines. Individuals who needed more targeted and continued support were referred to help services such as counselling centres or specialised helplines. The number of calls has since decreased by about 42 percent post CB. To provide information and self-help tools to improve mental well-being, Temasek Foundation, AIC, and the Ministry of Health Office for Healthcare Transformation have developed online mental health platforms such as the ""My Mental Health"" Microsite (www.stayprepared.sg/mymentalhealth/), and Mindline.sg. Users will also be able to find out more on the support services that are available to them through these platforms.To address the challenges of working from home, the Ministry of Manpower (MOM) has issued an inter-agency Advisory in April this year to advise employers and workers on practical steps to take and to tap on counselling resources to support one’s mental well-being during the COVID-19 period. Recommendations for employers include regular checking in with staff, provide flexible work schedules for parents of young children; and provide employees with access to external counselling service. Employees are also encouraged to maintain a circle of social support; and stay active and healthy during this period. The Ministry of Health will continue to work with its partner agencies to monitor the trends of utilisation of support services and provide timely intervention if necessary. "
declaring foreign worker dormitories to be clear of covid-19,Mr Lim Biow Chuan asked the Minister for Manpower whether there has been an error in declaring a dormitory to be cleared of the COVID-19 virus when a subsequent new cluster is found to have originated from that dormitory.,"Mrs Josephine Teo: The Inter-Agency Taskforce (ITF) systematically tested all dormitory residents to clear the dormitories of COVID-19. This means that all dormitory residents have either recovered, have been tested to be free from the virus, or have moved to other government facilities to complete their isolation or quarantine depending on their health status.  As many of the dormitory residents have never been infected, they remain susceptible to COVID-19.This is why clearing a dormitory does not mean that there will never be any new infections in future. What is key is for the workers, employers, and dormitory operators to remain vigilant and continue to comply with safe distancing measures to minimise the risk of another outbreak.  To detect new COVID-19 cases and contain the infections quickly and decisively, we have also put in place a multi-layered strategy. First, to prevent potential infections, we have put in place Safe Living, Safe Working and Safe Rest Day measures. Before residents are allowed to return to work, dormitory operators have to implement a slew of physical distancing measures in the dormitory, such as: (i) limiting the inter-mixing of workers across rooms, levels and blocks; (ii) scheduling access to common facilities; (iii) putting in place staggered pick-up and drop-off times for workers; and (iv) ensuring safe distancing between workers. They must also monitor their workers’ health and take necessary precautions, so that workers who are unwell are quickly isolated and provided with medical treatment.Second, to swiftly detect new cases of infection, a number of strategies are deployed. This include (i) self-monitoring by migrant workers and updating on their health status through the FWMOMCare App; (ii) close monitoring of workers who report sick at medical posts with acute respiratory illnesses; (iii) checking the wastewater from certain dormitories for traces of the COVID-19 virus; and (iv) rostered routine testing for dormitory residents every 14 days.Finally, if a new case is detected, we have put in place measures to contain its spread. Close contacts will be quarantined and aggressive testing operations will be conducted to arrest a further spread of the virus. Workers must be tested negative at the end of their quarantine period before they are able to return to work. These measures continue to be adjusted in consultation with health experts, as new insights are gained about how the virus spreads.COVID-19 remains a threat, as shown by the new infection cases in cleared dormitories. We look forward to the continued understanding, support and cooperation of all parties as we move together on the road to recovery."
patients accessing subsidised care at public hospitals and specialist centres,"Dr Tan Wu Meng asked the Minister for Health (a) over the past three years, how many Singaporeans at public hospitals and specialist centres have requested to change from a paying class to subsidised care; (b) how many of such patients have accessed paying class care through (i) employment-linked insurance or (ii) personal integrated shield plans; and (c) of these, what proportion subsequently received subsidised care at the same rates as de novo subsidised patients.","Mr Gan Kim Yong: Upon admission, Singaporeans can choose to be admitted into private or subsidised ward classes regardless of their means and hospitals provide financial counselling to patients to help them select a ward class appropriate to their needs.  To receive subsidised specialist outpatient (SOC) treatment, a patient needs a referral from a subsidised inpatient ward class, emergency department or a polyclinic. Hence, patients who opt for private ward will be considered as private patients and charged unsubsidised rates should they require follow-ups at the SOCs after discharge. Nonetheless, should they need to switch to subsidised care due to financial concerns, for both the inpatient and SOC settings, they can approach the staff at our public healthcare providers for assistance. The providers assess such requests on a case-by-case basis, taking into consideration patient’s financial circumstances and ability to continue to pay unsubsidised rates. For patients facing genuine financial difficulties, the providers will exercise some flexibility and allow them to switch to subsidised service and pay subsidised rates.  In the past three years, on average, we have received about 2,400 requests a year to switch from private to subsidised inpatient or SOC care, out of a total of 80,000 admissions from private wards and 1,000,000 private SOC attendances a year. About 70% of these requests are approved.  Patients with Integrated Shield Plans make up about 35% of all requests in the inpatient setting. Our public healthcare providers’ administrative records do not capture whether a patient’s insurance scheme is employment-linked. I would like to assure the Member that our public healthcare providers will consider, among other things, changes to a patient’s circumstances, such as loss of income or private insurance coverage, in assessing whether to accede to requests to switch to subsidised care. Patients facing financial difficulties should approach the medical social workers to discuss their options. "
